pair,min_centroid,min_footprint,t_centroid,t_footprint,ttc_accel_poly,ttc_cv_poly,ttc_accel_pt,clearance_overstatement,timing_lead
334-345,9.134135332883995,7.08992652034221,86.89779378658261,87.2980139076492,,,,2.0442088125417843,-0.4002201210665959
712-730,9.31176132361627,7.166824597302622,172.94511981589875,172.94511981589875,1.4000000000000006,,,2.1449367263136487,0.0
487-1773,5.471415342598148,2.941347259977647,134.8741807994397,134.8741807994397,1.2500000000000004,1.4000000000000006,,2.5300680826205015,0.0
494-554,5.372252914157358,3.3929540389638593,142.1781980089049,142.52839061483814,,,,1.979298875193499,-0.35019260593324475
837-888,9.217734279192198,6.451332152284522,207.76427034869172,208.264545500025,,,,2.7664021269076766,-0.5002751513332839
1100-1122,7.0816496518478145,2.6301837003943342,259.39266596628147,259.39266596628147,,,,4.45146595145348,0.0
720-722,8.36790051305057,5.87514165567849,169.74335884736604,169.99349642303267,,,,2.4927588573720794,-0.25013757566662775
1269-1275,8.638409686862012,5.199739517532649,297.6637150432738,297.7137425584071,1.0500000000000003,,,3.438670169329363,-0.0500275151333085
489-1418,8.575620426029838,7.801256577451788,132.42283255790684,132.22272249737355,,,,0.7743638485780497,0.20011006053329083
485-489,8.561046995100218,6.3481663441228715,132.42283255790684,132.5228875881735,,,,2.212880650977347,-0.10005503026664542
346-349,5.534182309295779,2.819076243062149,92.6509580269148,92.50087548151484,0.8500000000000002,1.2000000000000004,,2.7151060662336297,0.15008254539995391
903-1549,6.392841017878308,3.1861334152475322,211.86652658962427,211.36625143829104,0.8500000000000002,,,3.206707602630776,0.5002751513332271
551-557,5.984291107784783,1.7926856569278868,140.4772624943719,140.4772624943719,,,,4.191605450856896,0.0
691-2031,9.148707659774875,7.450060665792009,164.59052478863373,164.14027715243384,1.7000000000000008,,,1.698646993982866,0.45024763619989017
527-532,1.954226487185908,1.3431155852423942,136.52508879883936,136.52508879883936,0.35,0.49999999999999994,,0.6111109019435139,0.0
829-1883,7.412446532628023,5.107178748204333,200.91050077542647,200.91050077542647,1.0000000000000002,1.3000000000000005,,2.3052677844236893,0.0
487-501,6.465780861291835,3.2823720266889325,133.67352043623993,133.67352043623993,1.1000000000000003,0.8500000000000002,,3.1834088346029024,0.0
626-1476,3.2020397947452826,1.2282784379526532,153.43438891390264,153.28430636850268,0.44999999999999996,,,1.9737613567926293,0.15008254539995391
1230-1963,7.171106768571911,5.708712957008899,287.6081845014758,287.6081845014758,1.3500000000000005,2.1500000000000004,,1.462393811563012,0.0
141-148,5.020706263430764,3.660554082247325,37.82080144079244,37.87082895592576,8.09999999999998,5.399999999999989,,1.3601521811834392,-0.05002751513332271
93-111,9.259647391574207,4.787138064476338,22.21221671919556,22.21221671919556,1.900000000000001,,,4.472509327097869,0.0
566-576,6.474876915380351,5.487997069321253,143.37885837210465,144.82965631097102,1.850000000000001,,,0.9868798460590984,-1.4507979388663728
370-1743,4.611662837897342,1.5599339650094493,99.80489269098004,99.80489269098004,1.0000000000000002,0.9500000000000003,,3.0517288728878924,0.0
1463-1835,4.360432266250835,3.003952851195077,159.3876632147681,159.48771824503476,,,,1.356479415055758,-0.10005503026664542
