agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class,pattern
1188,1216,lcv,cyclist,cyc_veh,agent_a_first,4.0189,0.0,0.6968,0.0,1.4039,0.95,1e-05,1e-06,1188,1216,cyclist,Agent A Priority — Marginal
1188,1234,lcv,lcv,veh_veh,unresolved_conflict_zone,-0.2039,0.0,0.1712,0.5503,0.3541,0.35,0.00044,1.7e-05,1188,1234,lcv,Chaotic Negotiation
1188,1239,lcv,motorcycle,veh_veh,agent_a_first,-4.5414,0.1501,2.7953,0.0,1.631,,0.00027,1.7e-05,1188,1239,motorcycle,Chaotic Negotiation
1188,2895,lcv,pedestrian,ped_veh,agent_b_first,-2.1642,0.3502,0.8738,0.1501,0.4731,,0.00113,7.6e-05,1188,2895,pedestrian,Unclear Advantage
1188,2896,lcv,cyclist,cyc_veh,agent_a_first,1.3993,2.9516,3.5421,2.4513,0.569,0.5,0.02661,0.001697,1188,2896,cyclist,Unclear Advantage
1188,2900,lcv,car,veh_veh,agent_a_first,0.5996,0.1001,0.9058,0.5003,0.4875,0.2,0.00264,0.000126,1188,2900,car,Chaotic Negotiation
1188,2909,lcv,pedestrian,ped_veh,agent_a_first,10.4322,3.2518,17.8721,0.6003,1.6989,2.45,0.0,0.0,1188,2909,pedestrian,Proactive Yielding
1188,3194,lcv,cyclist,cyc_veh,agent_b_first,-12.7163,2.2512,13.5465,1.2507,1.972,,0.00036,2.3e-05,1188,3194,cyclist,Gap-Forced Merge
1188,3199,lcv,pedestrian,ped_veh,agent_a_first,36.4996,0.1501,31.5462,1.3007,2.4925,0.6,0.0,0.0,1188,3199,pedestrian,Marginal Yield
1195,1202,cyclist,cyclist,cyc_veh,agent_a_first,-0.3817,0.2001,0.6043,0.0,0.2512,2.3,0.0016,0.000283,1195,1202,cyclist,Chaotic Negotiation
1195,1206,cyclist,car,cyc_veh,agent_a_first,-1.5527,0.7504,2.2012,0.0,0.9643,,0.15219,0.013655,1195,1206,car,Gap-Forced Merge
1195,1213,cyclist,lcv,cyc_veh,agent_a_first,-22.8738,0.1001,0.4112,0.0,1.7196,1.85,1e-05,0.0,1195,1213,lcv,Contested Right-of-Way
1195,2896,cyclist,cyclist,cyc_veh,agent_a_first,-0.2342,0.2001,6.1946,0.0,0.2043,1.95,0.12933,0.022871,1195,2896,cyclist,Chaotic Negotiation
1202,1206,cyclist,car,cyc_veh,unresolved_conflict_zone,-6.8481,0.0,0.695,0.3502,1.1025,,0.08745,0.007847,1202,1206,car,Contested Right-of-Way
1202,1213,cyclist,lcv,cyc_veh,agent_b_first,3.7263,1.2507,0.2106,0.4002,0.5453,1.1,0.04918,0.003137,1202,1213,lcv,Agent B Priority — Stable
1202,1216,cyclist,cyclist,cyc_veh,agent_b_first,4.5784,0.0,15.8181,0.05,0.7101,2.35,0.0,0.0,1202,1216,cyclist,Agent B Priority — Marginal
1202,1226,cyclist,pedestrian,ped_veh,agent_a_first,0.6087,0.2501,1.3784,1.901,1.2764,0.95,0.0,0.0,1202,1226,pedestrian,Unclear Advantage
1202,1228,cyclist,pedestrian,ped_veh,agent_a_first,-2.6002,1.5509,11.8364,1.6009,1.7183,0.9,0.0,0.0,1202,1228,pedestrian,Unclear Advantage
1202,1239,cyclist,motorcycle,cyc_veh,agent_a_first,-0.5201,0.2501,0.4592,0.0,0.3312,,0.0,1e-06,1202,1239,motorcycle,Unclear Advantage
1202,1244,cyclist,pedestrian,ped_veh,agent_a_first,-11.7216,0.2501,5.3252,0.05,2.2359,1.05,0.0,0.0,1202,1244,pedestrian,Gap-Driven Crossing
1202,1248,cyclist,pedestrian,ped_veh,agent_b_first,-28.3989,0.0,0.5354,0.0,2.2845,,0.0,0.0,1202,1248,pedestrian,Contested Non-Yielding
1202,2839,cyclist,pedestrian,ped_veh,agent_a_first,-0.3252,4.1523,1.8791,2.6515,1.743,1.05,0.0,0.0,1202,2839,pedestrian,Unclear Advantage
1202,2858,cyclist,pedestrian,ped_veh,agent_a_first,1.6248,3.4019,2.2445,2.2512,1.8406,1.25,0.0,0.0,1202,2858,pedestrian,Unclear Advantage
1202,2874,cyclist,car,cyc_veh,agent_a_first,-1.1148,4.6526,2.9833,1.5509,1.2154,0.45,0.01061,0.000952,1202,2874,car,Unclear Advantage
1202,2900,cyclist,car,cyc_veh,agent_a_first,-0.4152,2.6014,0.8238,0.0,0.9366,,0.00033,2.9e-05,1202,2900,car,Unclear Advantage
1202,2909,cyclist,pedestrian,ped_veh,agent_a_first,1.2216,3.2018,11.0745,1.9511,1.0963,0.85,0.0,0.0,1202,2909,pedestrian,Unclear Advantage
1202,3194,cyclist,cyclist,cyc_veh,agent_a_first,0.288,0.1001,0.889,0.7504,0.3356,1.95,0.00036,6.4e-05,1202,3194,cyclist,Chaotic Negotiation
