agent_a_id,agent_b_id,agent_a_class,agent_b_class,pair_type,outcome,NM,SDD,PEB_final,PET,TTC_min,TTC_poly_min,Max_CCI,Max_density_raw,ped_id,veh_id,veh_class
944,1908,truck,motorcycle,veh_veh,agent_b_first,-9.4106,0.05,0.5543,0.0,1.3217,0.05,0.35838,0.018947,944,1908,motorcycle
944,1910,truck,pedestrian,ped_veh,agent_b_first,-0.1807,1.6009,1.5003,0.0,0.607,,0.0676,0.003774,944,1910,pedestrian
945,966,pedestrian,truck,ped_veh,agent_b_first,6.6764,0.4002,0.9185,0.0,1.3017,1.7,4e-05,2e-06,945,966,truck
945,1908,pedestrian,motorcycle,ped_veh,agent_b_first,-3.385,2.9516,4.363,0.0,1.599,0.05,0.57887,0.116537,945,1908,motorcycle
952,966,pedestrian,truck,ped_veh,agent_b_first,-1.0876,0.9505,1.5613,0.1001,0.973,0.65,0.02389,0.001334,952,966,truck
952,1548,pedestrian,car,ped_veh,agent_a_first,-2.4315,0.7504,0.8651,0.05,1.3289,5.35,0.0,0.0,952,1548,car
959,966,pedestrian,truck,ped_veh,agent_b_first,-6.7476,2.7015,3.89,2.0511,1.7124,1.6,0.0,0.0,959,966,truck
959,981,pedestrian,lcv,ped_veh,agent_a_first,-8.9431,0.0,0.4277,1.1506,1.785,,0.0,0.0,959,981,lcv
959,992,pedestrian,lcv,ped_veh,agent_b_first,0.4473,1.5008,2.6409,0.3502,0.7015,,0.00105,7e-05,959,992,lcv
959,1001,pedestrian,lcv,ped_veh,agent_b_first,0.5151,1.851,21.2915,0.6504,1.9069,2.25,0.0,0.0,959,1001,lcv
959,1003,pedestrian,lcv,ped_veh,agent_a_first,0.5132,0.1001,3.0682,2.2512,1.3755,1.5,0.0,0.0,959,1003,lcv
959,1014,pedestrian,cyclist,ped_veh,agent_b_first,4.3192,0.0,0.0799,1.5008,0.9109,1.7,0.0,0.0,959,1014,cyclist
959,1016,pedestrian,cyclist,ped_veh,agent_b_first,0.2996,0.0,0.5895,1.751,1.9104,3.1,0.0,0.0,959,1016,cyclist
964,966,pedestrian,truck,ped_veh,agent_b_first,0.0269,0.9505,0.2448,0.0,0.2473,0.35,0.00037,2e-05,964,966,truck
964,1548,pedestrian,car,ped_veh,agent_b_first,-3.4624,0.1501,0.4587,0.0,1.7254,0.65,0.00085,8.2e-05,964,1548,car
966,969,truck,pedestrian,ped_veh,agent_a_first,1.0187,2.9516,2.1593,2.3513,1.9826,1.85,0.0,0.0,966,969,pedestrian
966,972,truck,pedestrian,ped_veh,agent_a_first,-3.4464,5.5531,9.5949,0.8004,3.406,,0.2127,0.011876,966,972,pedestrian
966,984,truck,pedestrian,ped_veh,agent_a_first,-2.1749,0.9005,2.0875,0.0,1.6482,,0.0,0.0,966,984,pedestrian
966,987,truck,pedestrian,ped_veh,agent_a_first,-5.6606,1.1006,1.4411,0.4002,2.3149,0.15,0.49417,0.027592,966,987,pedestrian
966,1548,truck,car,veh_veh,unresolved_conflict_zone,1.3602,0.0,0.2876,0.0,0.3298,0.05,0.16361,0.006827,966,1548,car
966,1557,truck,pedestrian,ped_veh,agent_b_first,-0.3216,0.05,1.8664,0.2001,1.4537,1.1,0.0,0.0,966,1557,pedestrian
969,981,pedestrian,lcv,ped_veh,agent_b_first,-5.3569,1.751,6.1047,0.0,1.7924,1.9,0.0,0.0,969,981,lcv
969,992,pedestrian,lcv,ped_veh,unresolved_conflict_zone,0.1793,0.1001,0.0272,0.2501,0.6253,0.35,0.25572,0.017151,969,992,lcv
972,981,pedestrian,lcv,ped_veh,agent_b_first,1.1191,2.6014,2.4947,0.9005,1.8769,,0.59237,0.03973,972,981,lcv
972,992,pedestrian,lcv,ped_veh,unresolved_conflict_zone,1.578,0.0,0.904,0.0,1.0125,2.25,0.03732,0.002503,972,992,lcv
972,1001,pedestrian,lcv,ped_veh,agent_b_first,1.1818,1.6009,0.8248,0.5503,0.7614,0.5,0.186,0.012475,972,1001,lcv
